2025-08-13 20:10:35 | INFO | conftest.py:391 | ✅ 成功删除数据库文件: /storage/emulated/0/hwsys/database/clouds.db
2025-08-13 20:10:35 | DEBUG | remote_connection.py:403 | POST http://127.0.0.1:4723/wd/hub/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'appium:automationName': 'UiAutomator2', 'platformName': 'Android', 'appium:platformVersion': '14', 'appium:deviceName': 'Clear6 Turbo', 'appium:appPackage': 'hanvon.aebr.hanvondrive', 'appium:appActivity': 'hanvon.aebr.hanvondrive.activity.MainActivity', 'appium:fastReset': True, 'appium:noReset': False, 'appium:autoGrantPermissions': True, 'appium:recordScreen': True, 'appium:newCommandTimeout': 300}}}
2025-08-13 20:10:35 | DEBUG | connectionpool.py:241 | Starting new HTTP connection (1): 127.0.0.1:4723
2025-08-13 20:10:57 | DEBUG | connectionpool.py:544 | http://127.0.0.1:4723 "POST /wd/hub/session HTTP/1.1" 200 0
2025-08-13 20:10:57 | DEBUG | remote_connection.py:436 | Remote response: status=200 | data={"value":{"capabilities":{"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":false,"warnings":{},"desired":{"platformName":"Android","automationName":"UiAutomator2","platformVersion":"14","deviceName":"Clear6 Turbo","appPackage":"hanvon.aebr.hanvondrive","appActivity":"hanvon.aebr.hanvondrive.activity.MainActivity","fastReset":true,"noReset":false,"autoGrantPermissions":true,"recordScreen":true,"newCommandTimeout":300},"platformName":"Android","automationName":"UiAutomator2","platformVersion":"14","deviceName":"a4d7b634","appPackage":"hanvon.aebr.hanvondrive","appActivity":"hanvon.aebr.hanvondrive.activity.MainActivity","fastReset":true,"noReset":false,"autoGrantPermissions":true,"recordScreen":true,"newCommandTimeout":300,"deviceUDID":"a4d7b634","deviceApiLevel":34,"deviceScreenSize":"824x1648","deviceScreenDensity":350,"deviceModel":"PM6","deviceManufacturer":"QUALCOMM","pixelRatio":2.1875,"statBarHeight":53,"viewportRect":{"left":0,"top":53,"width":824,"height":1595}},"sessionId":"1f5f4a97-29b5-451c-be20-5eeb273bad44"}} | headers=HTTPHeaderDict({'X-Powered-By': 'Express', 'Vary': 'X-HTTP-Method-Override', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '1161', 'ETag': 'W/"489-j4/cfCXg4b7F+yEFpRum4+TpxUA"', 'Date': 'Wed, 13 Aug 2025 12:10:57 GMT', 'Connection': 'keep-alive'})
2025-08-13 20:10:57 | DEBUG | remote_connection.py:465 | Finished Request
2025-08-13 20:10:57 | DEBUG | remote_connection.py:403 | POST http://127.0.0.1:4723/wd/hub/session/1f5f4a97-29b5-451c-be20-5eeb273bad44/timeouts {'implicit': 10000}
2025-08-13 20:10:57 | DEBUG | connectionpool.py:544 | http://127.0.0.1:4723 "POST /wd/hub/session/1f5f4a97-29b5-451c-be20-5eeb273bad44/timeouts HTTP/1.1" 200 0
2025-08-13 20:10:57 | DEBUG | remote_connection.py:436 | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'X-Powered-By': 'Express', 'Vary': 'X-HTTP-Method-Override', 'Content-Type': 'application/json; charset=utf-8', 'Content-Length': '14', 'ETag': 'W/"e-9/1BuKMgFObM1mWJm+YjxtXJnUM"', 'Date': 'Wed, 13 Aug 2025 12:10:57 GMT', 'Connection': 'keep-alive'})
2025-08-13 20:10:57 | DEBUG | remote_connection.py:465 | Finished Request
2025-08-13 20:10:57 | INFO | base_page.py:52 | 自动生成配置路径: data/locators/login_page.yaml
